COORD_REF_SYS_CODE,COORD_REF_SYS_NAME,AREA_OF_USE_CODE,COORD_REF_SYS_KIND,COORD_SYS_CODE,DATUM_CODE,BASE_CRS_CODE,PROJECTION_CONV_CODE,CMPD_HORIZCRS_CODE,CMPD_VERTCRS_CODE,CRS_SCOPE,REMARKS,INFORMATION_SOURCE,DATA_SOURCE,REVISION_DATE,CHANGE_ID,SHOW_CRS,DEPRECATED
2462,"Albanian 1987 / Gauss-Kruger zone 4",,"projected",4530,,4191,16204,,,,,"EuroGeographics; http://crs.bkg.bund.de/crs-eu/","EPSG","11/21/14 00:00:00","2005.180 2011.062 2014.078",1,0
3102,"American Samoa 1962 / American Samoa Lambert",,"projected",4497,,4169,15376,,,,"Replaced by NAD83(HARN) / UTM zone 2S (projCRS 2195) as of mid-2000.","US National Geodetic Survey (NGS) http://www.ngs.noaa.gov/","EPSG","05/21/05 00:00:00","2005.230",1,0
3110,"AGD66 / Vicgrid66",,"projected",4400,,4202,17360,,,,"May also be used to display Victoria, New South Wales, Tasmania and South Australia as a single entity. Replaced by Vicgrid94 (CRS code 3111) with effect from 2nd February 2000. Prior to 2000 this CRS was known as VICGRID.","Victoria Land Registry; http://www.land.vic.gov.au","EPSG","12/15/16 00:00:00","2016.043",1,0
4143,"Abidjan 1987",,"geographic 2D",6422,6143,,,,,,"Replaces Locodjo 1965 (EPSG code 4142).","IGN Paris","EPSG","12/15/16 00:00:00","2001.110 2003.370 2016.048",1,0
4168,"Accra",,"geographic 2D",6422,6168,,,,,,"Ellipsoid semi-major axis (a)=20926201 exactly Gold Coast feet. 
Replaced by Leigon (code 4250) in 1978.","Ordnance Survey International","EPSG","01/06/04 00:00:00","2003.370",1,0
4169,"American Samoa 1962",,"geographic 2D",6422,6169,,,,,,,"NIMA TR8350.2 revision of January 2000 and ftp://ftp.ngs.noaa.gov/pub/pcsoft/nadcon/samoa_readme.txt","EPSG","05/21/05 00:00:00","2003.370 2005.230",1,0
4191,"Albanian 1987",,"geographic 2D",6422,6191,,,,,,"Replaced by KRGJSH-2010.","EuroGeographics; http://crs.bkg.bund.de/crs-eu/","EPSG","11/21/14 00:00:00","2003.370 2011.062 2014.078",1,0
4196,"Ammassalik 1958",,"geographic 2D",6422,6196,,,,,,,"Kort & Matrikelstyrelsen, Copenhagen.","EPSG","01/06/04 00:00:00","2003.370",1,0
4201,"Adindan",,"geographic 2D",6422,6201,,,,,,"The 12th parallel traverse of 1966-70 (geogCRS Point 58, code 4620) is connected to the Blue Nile 1958 network in western Sudan. This has given rise to misconceptions that the Blue Nile 1958 network is used in west Africa.","US Coast and Geodetic Survey via Geophysical Reasearch vol 67 #11, October 1962.","EPSG","04/22/15 00:00:00","2002.431 2003.370 2015.010",1,0
4202,"AGD66",,"geographic 2D",6422,6202,,,,,,,"Australian Commonwealth Gazette No. 84, 6th October 1966.","EPSG","09/17/19 00:00:00","2003.370 2019.033",1,0
4203,"AGD84",,"geographic 2D",6422,6203,,15593,,,,"National system replacing AGD66 but officially adopted only in Queensland, South Australia and Western Australia. Replaced by GDA94.","""GDA technical manual v2_2"", Intergovernmental Committee on Surveying and Mapping. www.anzlic.org.au/icsm/gdtm/","EPSG","03/18/21 00:00:00","2003.290 2003.370 2009.106 2019.033 2021.016",1,0
4204,"Ain el Abd",,"geographic 2D",6422,6204,,,,,,,,"EPSG","01/06/04 00:00:00","2003.370",1,0
4205,"Afgooye",,"geographic 2D",6422,6205,,,,,,,,"EPSG","01/05/12 00:00:00","2003.370 2012.001",1,0
4206,"Agadez",,"geographic 2D",6422,6206,,,,,,,,"EPSG","01/06/04 00:00:00","2003.370",1,0
4208,"Aratu",,"geographic 2D",6422,6208,,,,,,,,"EPSG","01/06/04 00:00:00","2003.370",1,0
4209,"Arc 1950",,"geographic 2D",6422,6209,,,,,,,,"EPSG","01/06/04 00:00:00","2003.370",1,0
4289,"Amersfoort",,"geographic 2D",6422,6289,,,,,,"Use of geographic2D CRS Amersfoort (code 4289) for spatial referencing is discouraged. Use projected CRS Amersfoort / RD New (code 28992).","NSGI: Netherlands Partnership of Kadaster, Rijkswaterstaat and Hydrographic Service, http://www.nsgi.nl/.","EPSG","08/31/20 00:00:00","2003.370 2005.370 2015.006 2019.072 2019.090",1,0
4600,"Anguilla 1957",,"geographic 2D",6422,6600,,,,,,,,"EPSG","01/06/04 00:00:00","2003.370",1,0
4601,"Antigua 1943",,"geographic 2D",6422,6601,,,,,,,,"EPSG","01/06/04 00:00:00","2003.370",1,0
5337,"Aratu / UTM zone 25S",,"projected",4400,,4208,16125,,,,,,"EPSG","01/25/11 00:00:00","2011.004",1,0
5711,"AHD height",,"vertical",6499,5111,,,,,,"Appropriate for cadastral and local engineering survey including construction or mining. Only suitable onshore. AVWS height (CRS code 9458) is more accurate than AHD height for applications over distances greater than 10 km and also extends offshore.","GDA2020 Technical Manual v1.4 and Australian Vertical Working Surface (AVWS) Technical Implementation Plan v1.2 (http://www.icsm.gov.au).","EPSG","10/21/20 00:00:00","2008.010 2018.009 2019.033 2020.076 2020.102",1,0
5712,"AHD (Tasmania) height",,"vertical",6499,5112,,,,,,,,"EPSG","04/20/18 00:00:00","2008.010 2012.007 2018.009",1,0
5734,"AIOC95 depth",,"vertical",6498,,5797,7812,,,,"Also used by AIOC and BP as a height system for engineering survey at Sangachal terminal (see CRS code 5797). AIOC95 datum is 1.7m above Caspian datum and 26.3m below Baltic datum.","BP","EPSG","04/20/21 00:00:00","2004.724 2008.010 2021.022",1,0
5775,"Antalya height",,"vertical",6499,5173,,,,,,,"EuroGeographics, http://crs.bkg.bund.de/crs-eu/","EPSG","03/14/08 00:00:00","2005.180 2008.010",1,0
5782,"Alicante height",,"vertical",6499,5180,,,,,,,"National Geographic Institute of Spain (IGN), http://www.ign.es","EPSG","07/01/20 00:00:00","2008.010 2014.095 2020.056",1,0
5797,"AIOC95 height",,"vertical",6499,5133,,,,,,"AIOC95 datum is 1.7m above Caspian datum and 26.3m below Baltic datum. Also used by AIOC and BP as the depth system for all offshore Azerbaijan activities (see CRS code 5734).","BP","EPSG","03/14/08 00:00:00","2008.010",1,0
5825,"AGD66 / ACT Standard Grid",,"projected",4400,,4202,5824,,,,,"ACT Planning and Land Authority, http://www.actpla.act.gov.au","EPSG","01/28/12 00:00:00","2012.016",1,0
6881,"Aden 1925",,"geographic 2D",6422,1135,,,,,,,"US NGA GeoTrans software v3.4 and other industry sources.","EPSG","07/30/14 00:00:00","2014.037",1,0
7415,"Amersfoort / RD New + NAP height",,"compound",,,,,28992,5709,,,"http://www.rdnap.nl/","EPSG","03/14/08 00:00:00","2008.010",1,0
9384,"AbInvA96_2020-IRF",,"geographic 2D",6422,1273,,,,,,"Intermediate CRS created in 2020 to assist the emulation of the ETRS89 / AbInvA96_2020 SnakeGrid projected CRS through transformation ETRS89 to AbInvA96_2020-IRF (1) (code 9386) used in conjunction with the AbInvA96_2020-TM map projection (code 9385).","Transport Scotland.","EPSG","06/16/20 00:00:00","2020.049",1,0
9387,"AbInvA96_2020 Grid",,"projected",4400,,9384,9385,,,,"The CRS's definition through transformation ETRS89 to AbInvA96_2020-IRF (1) (code 9386) and map projection AbInvA96_2020-TM (code 9385) emulates the AbInvA96_2020 Snake projection applied to ETRS89 as realised through OSNet 2009 CORS.","Transport Scotland.","EPSG","06/16/20 00:00:00","2020.049",1,0
9388,"AbInvA96_2020 Grid + ODN height",,"compound",,,,,9387,5701,,,"Transport Scotland.","EPSG","06/16/20 00:00:00","2020.049",1,0
20135,"Adindan / UTM zone 35N",,"projected",4400,,4201,16035,,,,,,"EPSG","04/22/15 00:00:00","2015.010",1,0
20136,"Adindan / UTM zone 36N",,"projected",4400,,4201,16036,,,,,,"EPSG","04/22/15 00:00:00","2015.010",1,0
20137,"Adindan / UTM zone 37N",,"projected",4400,,4201,16037,,,,,,"EPSG","04/22/15 00:00:00","2002.810 2015.010",1,0
20138,"Adindan / UTM zone 38N",,"projected",4400,,4201,16038,,,,,,"EPSG","04/22/15 00:00:00","2002.810 2015.010",1,0
20248,"AGD66 / AMG zone 48",,"projected",4400,,4202,17448,,,,,,"EPSG","06/02/95 00:00:00","2012.007",1,1
20249,"AGD66 / AMG zone 49",,"projected",4400,,4202,17449,,,,,,"EPSG","06/02/95 00:00:00",,1,0
20250,"AGD66 / AMG zone 50",,"projected",4400,,4202,17450,,,,,,"EPSG","06/02/95 00:00:00",,1,0
20251,"AGD66 / AMG zone 51",,"projected",4400,,4202,17451,,,,,,"EPSG","06/02/95 00:00:00",,1,0
20252,"AGD66 / AMG zone 52",,"projected",4400,,4202,17452,,,,,,"EPSG","06/02/95 00:00:00",,1,0
20253,"AGD66 / AMG zone 53",,"projected",4400,,4202,17453,,,,,,"EPSG","06/02/95 00:00:00",,1,0
20254,"AGD66 / AMG zone 54",,"projected",4400,,4202,17454,,,,,,"EPSG","06/02/95 00:00:00",,1,0
20255,"AGD66 / AMG zone 55",,"projected",4400,,4202,17455,,,,,,"EPSG","06/02/95 00:00:00",,1,0
20256,"AGD66 / AMG zone 56",,"projected",4400,,4202,17456,,,,,,"EPSG","07/20/11 00:00:00","2011.059",1,0
20257,"AGD66 / AMG zone 57",,"projected",4400,,4202,17457,,,,,,"EPSG","06/02/95 00:00:00",,1,0
20258,"AGD66 / AMG zone 58",,"projected",4400,,4202,17458,,,,,,"EPSG","06/02/95 00:00:00",,1,0
20348,"AGD84 / AMG zone 48",,"projected",4400,,4203,17448,,,,,,"EPSG","06/02/95 00:00:00","2012.007",1,1
20349,"AGD84 / AMG zone 49",,"projected",4400,,4203,17449,,,,,,"EPSG","06/02/95 00:00:00",,1,0
20350,"AGD84 / AMG zone 50",,"projected",4400,,4203,17450,,,,,,"EPSG","06/02/95 00:00:00",,1,0
20351,"AGD84 / AMG zone 51",,"projected",4400,,4203,17451,,,,,,"EPSG","06/02/95 00:00:00",,1,0
20352,"AGD84 / AMG zone 52",,"projected",4400,,4203,17452,,,,,,"EPSG","03/30/10 00:00:00","2009.106",1,0
20353,"AGD84 / AMG zone 53",,"projected",4400,,4203,17453,,,,,,"EPSG","03/30/10 00:00:00","2009.106",1,0
20354,"AGD84 / AMG zone 54",,"projected",4400,,4203,17454,,,,,,"EPSG","03/30/10 00:00:00","2009.106",1,0
20355,"AGD84 / AMG zone 55",,"projected",4400,,4203,17455,,,,,,"EPSG","03/30/10 00:00:00","2009.106",1,0
20356,"AGD84 / AMG zone 56",,"projected",4400,,4203,17456,,,,,,"EPSG","03/30/10 00:00:00","2009.106",1,0
20357,"AGD84 / AMG zone 57",,"projected",4400,,4203,17457,,,,,,"EPSG","06/02/95 00:00:00","2012.007",1,1
20358,"AGD84 / AMG zone 58",,"projected",4400,,4203,17458,,,,,,"EPSG","06/02/95 00:00:00","2012.007",1,1
20436,"Ain el Abd / UTM zone 36N",,"projected",4400,,4204,16036,,,,"Replaced by MTRF-2000 / UTM zone 36N (CRS code 8836).",,"EPSG","08/29/18 00:00:00","2018.045",1,0
20437,"Ain el Abd / UTM zone 37N",,"projected",4400,,4204,16037,,,,"Replaced by MTRF-2000 / UTM zone 37N (CRS code 8837).",,"EPSG","08/29/18 00:00:00","2005.110 2018.045",1,0
20438,"Ain el Abd / UTM zone 38N",,"projected",4400,,4204,16038,,,,"Known in Kuwait as ""KOC UTM"". Used by KOC for engineering but not explorartion (see KOC Lambert, CRS code 24600). In Saudi Arabia, replaced by MTRF-2000 / UTM zone 38N (CRS code 8838).",,"EPSG","08/29/18 00:00:00","1997.590 2005.110 2018.045",1,0
20439,"Ain el Abd / UTM zone 39N",,"projected",4400,,4204,16039,,,,"Known in Kuwait as ""KOC UTM"". Used by KOC for engineering but not explorartion (see KOC Lambert, CRS code 24600). In Saudi Arabia, replaced by MTRF-2000 / UTM zone 39N (CRS code 8839).",,"EPSG","08/29/18 00:00:00","2005.110 2018.045",1,0
20440,"Ain el Abd / UTM zone 40N",,"projected",4400,,4204,16040,,,,"Replaced by MTRF-2000 / UTM zone 40N (CRS code 8840).",,"EPSG","08/29/18 00:00:00","2018.045",1,0
20499,"Ain el Abd / Bahrain Grid",,"projected",4400,,4204,19900,,,,,,"EPSG","01/21/12 00:00:00","2012.004",1,0
20538,"Afgooye / UTM zone 38N",,"projected",4400,,4205,16038,,,,,,"EPSG","06/02/95 00:00:00",,1,0
20539,"Afgooye / UTM zone 39N",,"projected",4400,,4205,16039,,,,,,"EPSG","06/02/95 00:00:00",,1,0
20822,"Aratu / UTM zone 22S",,"projected",4400,,4208,16122,,,,,,"EPSG","07/21/95 00:00:00","1995.191",1,0
20823,"Aratu / UTM zone 23S",,"projected",4400,,4208,16123,,,,,,"EPSG","07/21/95 00:00:00","1995.191",1,0
20824,"Aratu / UTM zone 24S",,"projected",4400,,4208,16124,,,,,,"EPSG","07/21/95 00:00:00","1995.191",1,0
20934,"Arc 1950 / UTM zone 34S",,"projected",4400,,4209,16134,,,,,,"EPSG","11/13/97 00:00:00",,1,0
28991,"Amersfoort / RD Old",,"projected",4499,,4289,19913,,,,"Replaced by 28992 (Amersfoort / RD New).",,"EPSG","03/07/00 00:00:00","2000.370",1,0
28992,"Amersfoort / RD New",,"projected",4499,,4289,19914,,,,"Replaces 28991 (Amersfoort / RD Old).","NSGI: Netherlands Partnership of Kadaster, Rijkswaterstaat and Hydrographic Service, http://www.nsgi.nl/.","EPSG","08/31/20 00:00:00","2000.370 2005.180 2019.090",1,0
61436405,"Abidjan 1987 (deg)",,"geographic 2D",6405,,4143,101,,,,"See CRS code 4143 for recommended coordinate axis representation for the human interface.","OGP","EPSG","11/22/02 00:00:00",,1,1
61686405,"Accra (deg)",,"geographic 2D",6405,,4168,101,,,,"See CRS code 4168 for recommended coordinate axis representation for the human interface.","OGP","EPSG","11/22/02 00:00:00",,1,1
61696405,"American Samoa 1962 (deg)",,"geographic 2D",6405,,4169,101,,,,"See CRS code 4169 for recommended coordinate axis representation for the human interface.","OGP","EPSG","11/22/02 00:00:00",,1,1
61916405,"Albanian 1987 (deg)",,"geographic 2D",6405,,4191,101,,,,"See CRS code 4191 for recommended coordinate axis representation for the human interface.","OGP","EPSG","11/22/02 00:00:00",,1,1
61966405,"Ammassalik 1958 (deg)",,"geographic 2D",6405,,4196,101,,,,"See CRS code 4196 for recommended coordinate axis representation for the human interface.","OGP","EPSG","11/22/02 00:00:00",,1,1
62016405,"Adindan (deg)",,"geographic 2D",6405,,4201,101,,,,"See CRS code 4201 for recommended coordinate axis representation for the human interface.","OGP","EPSG","11/22/02 00:00:00",,1,1
62026405,"AGD66 (deg)",,"geographic 2D",6405,,4202,101,,,,"See CRS code 4202 for recommended coordinate axis representation for the human interface.","OGP","EPSG","11/22/02 00:00:00",,1,1
62036405,"AGD84 (deg)",,"geographic 2D",6405,,4203,101,,,,"See CRS code 4203 for recommended coordinate axis representation for the human interface.","OGP","EPSG","09/01/03 00:00:00","2003.290",1,1
62046405,"Ain el Abd (deg)",,"geographic 2D",6405,,4204,101,,,,"See CRS code 4204 for recommended coordinate axis representation for the human interface.","OGP","EPSG","11/22/02 00:00:00",,1,1
62056405,"Afgooye (deg)",,"geographic 2D",6405,,4205,101,,,,"See CRS code 4205 for recommended coordinate axis representation for the human interface.","OGP","EPSG","11/22/02 00:00:00",,1,1
62066405,"Agadez (deg)",,"geographic 2D",6405,,4206,101,,,,"See CRS code 4206 for recommended coordinate axis representation for the human interface.","OGP","EPSG","11/22/02 00:00:00",,1,1
62086405,"Aratu (deg)",,"geographic 2D",6405,,4208,101,,,,"See CRS code 4208 for recommended coordinate axis representation for the human interface.","OGP","EPSG","11/22/02 00:00:00",,1,1
62096405,"Arc 1950 (deg)",,"geographic 2D",6405,,4209,101,,,,"See CRS code 4209 for recommended coordinate axis representation for the human interface.","OGP","EPSG","11/22/02 00:00:00",,1,1
62896405,"Amersfoort (deg)",,"geographic 2D",6405,,4289,101,,,,"See CRS code 4289 for recommended coordinate axis representation for the human interface.","OGP","EPSG","11/22/02 00:00:00",,1,1
66006405,"Anguilla 1957 (deg)",,"geographic 2D",6405,,4600,101,,,,"See CRS code 4600 for recommended coordinate axis representation for the human interface.","OGP","EPSG","11/22/02 00:00:00",,1,1
66016405,"Antigua 1943 (deg)",,"geographic 2D",6405,,4601,101,,,,"See CRS code 4601 for recommended coordinate axis representation for the human interface.","OGP","EPSG","11/22/02 00:00:00",,1,1
2188,"Azores Occidental 1939 / UTM zone 25N",,"projected",4400,,4182,16025,,,,"Replaced by PTRA08 / UTM zone 25N (CRS code 5014).","Instituto Geografico e Cadastral Lisbon via EuroGeographics; http://crs.bkg.bund.de/crs-eu/","EPSG","03/31/10 00:00:00","2005.180 2010.006",1,0
2189,"Azores Central 1948 / UTM zone 26N",,"projected",4400,,4183,16026,,,,,"Instituto Geografico e Cadastral Lisbon via EuroGeographics; http://crs.bkg.bund.de/crs-eu/","EPSG","05/27/05 00:00:00","2005.180",1,0
2190,"Azores Oriental 1940 / UTM zone 26N",,"projected",4400,,4184,16026,,,,,"Instituto Geografico e Cadastral Lisbon via EuroGeographics; http://crs.bkg.bund.de/crs-eu/","EPSG","05/27/05 00:00:00","2003.231 2005.180",1,0
2200,"ATS77 / New Brunswick Stereographic (ATS77)",,"projected",4500,,4122,19945,,,,"In use from 1979. Replaces NAD27 / NB Stereographic (CRS code 5588). Replaced by NAD83(CSRS) / NB Stereographic (CRS code 2953).","New Brunswick Geographic Information Corporation land and water information standards manual.","EPSG","10/08/11 00:00:00","1999.610 2011.074",1,0
2219,"ATS77 / UTM zone 19N",,"projected",4400,,4122,16019,,,,"In use from 1979. To be phased out in late 1990's.","New Brunswick Geographic Information Corporation land and water information standards manual.","EPSG","07/22/97 00:00:00",,1,0
2220,"ATS77 / UTM zone 20N",,"projected",4400,,4122,16020,,,,"In use from 1979. To be phased out in late 1990's.","New Brunswick Geographic Information Corporation land and water information standards manual.","EPSG","07/22/97 00:00:00",,1,0
2290,"ATS77 / Prince Edward Isl. Stereographic (ATS77)",,"projected",4496,,4122,19933,,,,"In use from 1979. To be phased out in late 1990's.","Geomatics Centre; Nova Scotia Ministry of Housing and Municipal Affairs.","EPSG","11/13/97 00:00:00",,1,0
2294,"ATS77 / MTM Nova Scotia zone 4",,"projected",4400,,4122,17794,,,,"In use from 1979. To be phased out in late 1990's.","Geomatics Centre; Nova Scotia Ministry of Housing and Municipal Affairs.","EPSG","11/13/97 00:00:00",,1,0
2295,"ATS77 / MTM Nova Scotia zone 5",,"projected",4400,,4122,17795,,,,"In use from 1979. To be phased out in late 1990's.","Geomatics Centre; Nova Scotia Ministry of Housing and Municipal Affairs.","EPSG","11/13/97 00:00:00",,1,0
2308,"Batavia / TM 109 SE",,"projected",4400,,4211,16709,,,,"Used by Arco and BP for ONWJ.","BP Indonesia.","EPSG","02/12/02 00:00:00",,1,0
2431,"Beijing 1954 / 3-degree Gauss-Kruger CM 102E",,"projected",4530,,4214,16394,,,,"Truncated form of Beijing 1954 / 3-degree Gauss-Kruger zone 45 (code 2421). Replaced by Xian 1980 / 3-degree Gauss-Kruger CM 102E (code 2379).","OGP","EPSG","06/22/02 00:00:00",,1,0
2432,"Beijing 1954 / 3-degree Gauss-Kruger CM 105E",,"projected",4530,,4214,16318,,,,"Truncated form of Beijing 1954 / 3-degree Gauss-Kruger zone 35 (code 2411). Replaced by Xian 1980 / 3-degree Gauss-Kruger CM 105E (code 2380).","OGP","EPSG","07/22/06 00:00:00","2006.592",1,0
2433,"Beijing 1954 / 3-degree Gauss-Kruger CM 108E",,"projected",4530,,4214,16396,,,,"Truncated form of Beijing 1954 / 3-degree Gauss-Kruger zone 36 (code 2412). Replaced by Xian 1980 / 3-degree Gauss-Kruger CM 108E (code 2381).","OGP","EPSG","06/22/02 00:00:00",,1,0
2434,"Beijing 1954 / 3-degree Gauss-Kruger CM 111E",,"projected",4530,,4214,16319,,,,"Truncated form of Beijing 1954 / 3-degree Gauss-Kruger zone 37 (code 2413). Replaced by Xian 1980 / 3-degree Gauss-Kruger CM 111E (code 2382).","OGP","EPSG","07/22/06 00:00:00","2006.592",1,0
2435,"Beijing 1954 / 3-degree Gauss-Kruger CM 114E",,"projected",4530,,4214,16398,,,,"Truncated form of Beijing 1954 / 3-degree Gauss-Kruger zone 38 (code 2414). Replaced by Xian 1980 / 3-degree Gauss-Kruger CM 114E (code 2383).","OGP","EPSG","06/22/02 00:00:00",,1,0
2436,"Beijing 1954 / 3-degree Gauss-Kruger CM 117E",,"projected",4530,,4214,16320,,,,"Truncated form of Beijing 1954 / 3-degree Gauss-Kruger zone 39 (code 2415). Replaced by Xian 1980 / 3-degree Gauss-Kruger CM 117E (code 2384).","OGP","EPSG","07/22/06 00:00:00","2006.592",1,0
2437,"Beijing 1954 / 3-degree Gauss-Kruger CM 120E",,"projected",4530,,4214,16170,,,,"Truncated form of Beijing 1954 / 3-degree Gauss-Kruger zone 40 (code 2416). Replaced by Xian 1980 / 3-degree Gauss-Kruger CM 120E (code 2385).","OGP","EPSG","06/22/02 00:00:00",,1,0
2438,"Beijing 1954 / 3-degree Gauss-Kruger CM 123E",,"projected",4530,,4214,16321,,,,"Truncated form of Beijing 1954 / 3-degree Gauss-Kruger zone 41 (code 2417). Replaced by Xian 1980 / 3-degree Gauss-Kruger CM 123E (code 2386).","OGP","EPSG","07/22/06 00:00:00","2006.592",1,0
2439,"Beijing 1954 / 3-degree Gauss-Kruger CM 126E",,"projected",4530,,4214,16172,,,,"Truncated form of Beijing 1954 / 3-degree Gauss-Kruger zone 42 (code 2418). Replaced by Xian 1980 / 3-degree Gauss-Kruger CM 126E (code 2387).","OGP","EPSG","06/22/02 00:00:00",,1,0
2440,"Beijing 1954 / 3-degree Gauss-Kruger CM 129E",,"projected",4530,,4214,16322,,,,"Truncated form of Beijing 1954 / 3-degree Gauss-Kruger zone 43 (code 2419). Replaced by Xian 1980 / 3-degree Gauss-Kruger CM 129E (code 2388).","OGP","EPSG","07/22/06 00:00:00","2006.592",1,0
2441,"Beijing 1954 / 3-degree Gauss-Kruger CM 132E",,"projected",4530,,4214,16174,,,,"Truncated form of Beijing 1954 / 3-degree Gauss-Kruger zone 44 (code 2420). Replaced by Xian 1980 / 3-degree Gauss-Kruger CM 132E (code 2389).","OGP","EPSG","06/22/02 00:00:00",,1,0
2931,"Beduaram / TM 13 NE",,"projected",4499,,4213,16413,,,,"Used by Elf in 1986.","TotalFinaElf","EPSG","08/30/03 00:00:00","2003.280",1,0
3001,"Batavia / NEIEZ",,"projected",4499,,4211,19905,,,,,"OGP","EPSG","01/16/03 00:00:00",,1,0
3062,"Azores Oriental 1995 / UTM zone 26N",,"projected",4400,,4664,16026,,,,"Replaced by PTRA08 / UTM zone 26N (CRS code 5015).","Instituto Geografico e Cadastral Lisbon; http://www.igeo.pt","EPSG","03/31/10 00:00:00","2010.006",1,0
3063,"Azores Central 1995 / UTM zone 26N",,"projected",4400,,4665,16026,,,,"Replaced by PTRA08 / UTM zone 26N (CRS code 5015).","Instituto Geografico e Cadastral Lisbon; http://www.igeo.pt","EPSG","03/31/10 00:00:00","2010.006",1,0
3770,"BDA2000 / Bermuda 2000 National Grid",,"projected",4400,,4762,19849,,,,"Replaces Bermuda 1957 / UTM zone 20N (alias Bermuda National Grid) CRS code 3769).","Department of Lands Buildings and Surveys.","EPSG","12/12/07 00:00:00",,1,0
4122,"ATS77",,"geographic 2D",6422,6122,,,,,,"In use from 1979. To be phased out in late 1990's.","New Brunswick Geographic Information Corporation land and water information standards manual.","EPSG","09/17/19 00:00:00","2003.370 2019.034",1,0
4176,"Australian Antarctic",,"geographic 2D",6422,6176,4931,15593,,,,,"EPSG. See 3D CRS for original information source.","EPSG","08/27/07 00:00:00","2003.370 2006.080 2007.079",1,0
4182,"Azores Occidental 1939",,"geographic 2D",6422,6182,,,,,,"Replaced by PTRA08 (CRS code 5013).","Instituto Geografico e Cadastral Lisbon via EuroGeographics; http://crs.bkg.bund.de/crs-eu/","EPSG","03/31/10 00:00:00","2003.370 2010.006",1,0
4183,"Azores Central 1948",,"geographic 2D",6422,6183,,,,,,"Replaced by 1995 system (CRS code 4665).","Instituto Geografico e Cadastral Lisbon via EuroGeographics; http://crs.bkg.bund.de/crs-eu/","EPSG","01/06/04 00:00:00","2003.231 2003.370",1,0
4184,"Azores Oriental 1940",,"geographic 2D",6422,6184,,,,,,"Replaced by 1995 system (CRS code 4664).","Instituto Geografico e Cadastral Lisbon via EuroGeographics; http://crs.bkg.bund.de/crs-eu/","EPSG","01/06/04 00:00:00","2003.231 2003.370",1,0
4210,"Arc 1960",,"geographic 2D",6422,6210,,,,,,,,"EPSG","01/06/04 00:00:00","2003.370",1,0
4211,"Batavia",,"geographic 2D",6422,6211,,,,,,,,"EPSG","03/30/10 00:00:00","2003.370 2009.106",1,0
