EXTENT_CODE,EXTENT_NAME,EXTENT_DESCRIPTION,BBOX_SOUTH_BOUND_LAT,BBOX_WEST_BOUND_LON,BBOX_NORTH_BOUND_LAT,BBOX_EAST_BOUND_LON,ISO_A2_CODE,ISO_A3_CODE,ISO_N_CODE,VERTICAL_EXTENT_MIN,VERTICAL_EXTENT_MAX,VERTICAL_EXTENT_CRS_CODE,TEMPORAL_EXTENT_BEGIN,TEMPORAL_EXTENT_END,REMARKS,INFORMATION_SOURCE,DATA_SOURCE,REVISION_DATE,CHANGE_ID,DEPRECATED
1277,"Africa - Burundi, Kenya, Rwanda, Tanzania and Uganda","Burundi, Kenya, Rwanda, Tanzania and Uganda.",-1.1750000000000000e+01,2.8850000000000001e+01,4.6299999999999999e+00,4.1909999999999997e+01,,,,,,,,,,"OGP","EPSG","04/20/18 00:00:00","2014.024 2018.007",0
1288,"Angola - Angola proper","Angola - Angola proper - onshore and offshore.",-1.8020000000000000e+01,8.1999999999999993e+00,-5.8200000000000003e+00,2.4090000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2012.042 2014.024",0
1290,"Africa - Botswana, Eswatini, Lesotho and South Africa","Botswana; Eswatini (Swaziland); Lesotho; South Africa - mainland.",-3.4880000000000003e+01,1.6449999999999999e+01,-1.7780000000000001e+01,3.2950000000000003e+01,,,,,,,,,,"OGP","EPSG","01/14/19 00:00:00","2011.078 2012.042 2014.024 2018.060",0
1317,"Angola - Cabinda offshore","Angola - Cabinda offshore.",-6.0400000000000000e+00,1.0529999999999999e+01,-5.0499999999999998e+00,1.2180000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2012.042 2014.024",0
1318,"Angola - Cabinda","Angola - Cabinda.",-6.0400000000000000e+00,1.0529999999999999e+01,-4.3799999999999999e+00,1.3100000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2012.042 2014.024",0
1365,"Algeria - north of 32°N","Algeria - onshore north of 32°N.",3.1989999999999998e+01,-2.9500000000000002e+00,3.7140000000000001e+01,9.0899999999999999e+00,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2012.049 2014.024",0
1366,"Africa - Algeria, Morocco and Tunisia","Algeria; Morocco; Tunisia.",1.8980000000000000e+01,-1.3170000000000000e+01,3.7340000000000003e+01,1.1990000000000000e+01,,,,,,,,,,"OGP","EPSG","10/19/00 00:00:00","2011.004",1
1552,"Africa - Eritrea, Ethiopia and Sudan - 36°E to 42°E","Eritrea. Ethiopia - between 36°E and 42°E. Sudan - east of 36°E.",3.3999999999999999e+00,3.6000000000000000e+01,2.2010000000000002e+01,4.2000000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2002.810 2008.045 2012.049 2014.023",0
1575,"Africa - Botswana and Zambia - west of 24°E","Botswana and Zambia - west of 24°E.",-2.6879999999999999e+01,1.9989999999999998e+01,-1.0859999999999999e+01,2.4000000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2012.049 2014.023",0
1576,"Africa - Botswana, Zambia and Zimbabwe - 24°E to 30°E","Botswana - east of 24°E; Zambia - between 24°E and 30°E; Zimbabwe - west of 30°E .",-2.5840000000000000e+01,2.4000000000000000e+01,-8.3100000000000005e+00,3.0000000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2008.054 2012.049 2014.023",0
1577,"Africa - Malawi, Zambia and Zimbabwe - east of 30°E","Malawi. Zambia and Zimbabwe - east of 30°E.",-2.2420000000000002e+01,3.0000000000000000e+01,-8.1899999999999995e+00,3.5930000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2014.023",0
1579,"Africa - Tanzania and Uganda - south of equator and west of 30°E","Tanzania - west of 30°E; Uganda - south of equator and west of 30°E.",-6.8099999999999996e+00,2.9340000000000000e+01,0.0000000000000000e+00,3.0000000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2008.054 2012.049 2014.023",0
1580,"Africa - Kenya and Uganda - north of equator and 30°E to 36°E","Kenya - north of equator and west of 36°E; Uganda - north of equator and east of 30°E.",0.0000000000000000e+00,2.9989999999999998e+01,4.6299999999999999e+00,3.6000000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2008.054 2014.023",0
1581,"Africa - Kenya, Tanzania and Uganda - south of equator and 30°E to 36°E","Kenya - south of equator and west of 36°E; Tanzania - 30°E to 36°E; Uganda - south of equator and east of 30°E.",-1.1609999999999999e+01,2.9989999999999998e+01,1.0000000000000000e-02,3.6000000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2008.054 2012.049 2014.023",0
1583,"Africa - Kenya and Tanzania - south of equator and east of 36°E","Kenya - south of equator and east of 36°E; Tanzania - east of 36°E.",-1.1750000000000000e+01,3.6000000000000000e+01,0.0000000000000000e+00,4.1600000000000001e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2012.049 2014.023",0
1604,"Angola - Angola proper - offshore","Angola - Angola proper - offshore.",-1.7260000000000002e+01,8.1999999999999993e+00,-6.0099999999999998e+00,1.3859999999999999e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2012.042 2014.022",0
1605,"Angola - offshore block 15","Angola - offshore block 15.",-6.5899999999999999e+00,1.0830000000000000e+01,-6.0300000000000002e+00,1.1670000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2007.066 2012.042 2014.022",0
1606,"Angola - Angola proper - offshore - west of 12°E","Angola - Angola proper - offshore - west of 12°E.",-1.7260000000000002e+01,8.1999999999999993e+00,-6.0300000000000002e+00,1.2000000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2012.042 2014.022",0
1607,"Angola - Angola proper - 12°E to 18°E","Angola - Angola proper between 12°E and 18°E.",-1.7440000000000001e+01,1.2000000000000000e+01,-5.8200000000000003e+00,1.8000000000000000e+01,,,,,,,,,,"OGP","EPSG","09/17/19 00:00:00","2008.045 2012.042 2014.022 2018.035",0
1728,"Algeria - north of 34°39'N","Algeria - onshore north of 38.5 grads North (34°39'N).",3.4640000000000001e+01,-2.2200000000000002e+00,3.7140000000000001e+01,8.6400000000000006e+00,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2012.049 2014.022",0
1729,"Algeria - 31°30'N to 34°39'N","Algeria - 35 grads to 38.5 grads North (31°30'N to 34°39'N).",3.1489999999999998e+01,-3.8500000000000001e+00,3.4659999999999997e+01,9.2200000000000006e+00,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2005.143 2008.045 2012.049 2014.022",0
1735,"Algeria - west of 6°W","Algeria - west of 6°W (of Greenwich).",2.5730000000000000e+01,-8.6699999999999999e+00,2.9850000000000001e+01,-6.0000000000000000e+00,,,,,,,,,,"OGP","EPSG","04/18/12 00:00:00","2008.045 2012.049",0
1736,"Algeria - 6°W to 0°W onshore","Algeria - onshore between 6°W and 0°W (of Greenwich).",2.1820000000000000e+01,-6.0000000000000000e+00,3.5960000000000001e+01,0.0000000000000000e+00,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2012.005 2012.049 2014.022",0
1737,"Algeria - 0°E to 6°E onshore","Algeria - onshore between 0°E and 6°E (of Greenwich).",1.8969999999999999e+01,0.0000000000000000e+00,3.6969999999999999e+01,6.0099999999999998e+00,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2012.005 2012.049 2014.022",0
1738,"Algeria - east of 6°E onshore","Algeria - onshore east of 6°E (of Greenwich).",1.9600000000000001e+01,6.0000000000000000e+00,3.7140000000000001e+01,1.1990000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2012.005 2012.049 2014.022",0
2288,"American Samoa - Tutuila island","American Samoa - Tutuila island.",-1.4430000000000000e+01,-1.7088000000000000e+02,-1.4199999999999999e+01,-1.7050999999999999e+02,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2011.067 2013.044 2014.021",0
2289,"American Samoa - Ofu, Olesega and Ta'u islands","American Samoa - Ofu, Olesega and Ta'u islands.",-1.4310000000000000e+01,-1.6972999999999999e+02,-1.4109999999999999e+01,-1.6938000000000000e+02,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2011.067 2014.021",0
2311,"Africa - Kenya and Tanzania","Kenya; Tanzania.",-1.1750000000000000e+01,2.9340000000000000e+01,4.6299999999999999e+00,4.1909999999999997e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2014.020",0
2312,"Africa - Botswana, Eswatini, Lesotho, Malawi, Zambia, Zimbabwe","Botswana; Eswatini (Swaziland); Lesotho; Malawi; Zambia; Zimbabwe.",-3.0660000000000000e+01,1.9989999999999998e+01,-8.1899999999999995e+00,3.5930000000000000e+01,,,,,,,,,,"OGP","EPSG","01/14/19 00:00:00","2005.150 2012.049 2014.020 2018.060",0
2316,"Angola - offshore block 5","Angola - offshore block 5.",-8.5899999999999999e+00,1.2580000000000000e+01,-7.7500000000000000e+00,1.3400000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2012.042 2014.020",0
2317,"Angola - offshore block 2","Angola - offshore block 2.",-7.0099999999999998e+00,1.2080000000000000e+01,-6.0099999999999998e+00,1.2840000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2012.042 2014.020",0
2318,"Angola - offshore block 3","Angola - offshore block 3.",-7.3399999999999999e+00,1.1740000000000000e+01,-6.6600000000000001e+00,1.2500000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2014.020",0
2319,"Angola - offshore block 7","Angola - offshore block 7.",-1.0090000000000000e+01,1.2660000000000000e+01,-9.4100000000000001e+00,1.3390000000000001e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2012.042 2014.020",0
2320,"Angola - offshore blocks 7 8 24 + WGC spec","Angola - offshore blocks 7 and 8. Also used rounded to integer metre in offshore block 24 and for GSI/HGS/Western Geophysical speculative seismic data throughout offshore Angola.",-1.7260000000000002e+01,8.1999999999999993e+00,-6.0099999999999998e+00,1.3859999999999999e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2012.042 2014.020",0
2321,"Angola - offshore blocks 1 and 16","Angola - offshore blocks 1 and 16.",-7.2599999999999998e+00,1.1080000000000000e+01,-6.0300000000000002e+00,1.2090000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2014.020",0
2322,"Angola - offshore blocks 3 7 15 and 17","Angola - offshore blocks 3, 7,15 and 17.",-1.0084460928085999e+01,1.0830367000000001e+01,-6.0331609999999998e+00,1.3384290727213999e+01,,,0,,,,,,,"OGP","EPSG","01/13/21 00:00:00","2012.042 2014.020 2020.125",0
2323,"Angola - offshore blocks 1 16 and 18","Angola - offshore blocks 1, 16 and 18.",-8.3399999999999999e+00,1.1080000000000000e+01,-6.0300000000000002e+00,1.2750000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2014.020",0
2324,"Angola - offshore blocks 2 3 17-18 and 31-33","Angola - offshore blocks 2, 3, 17, 18, 31, 32 and 33.",-8.5845912001739002e+00,1.0413694255881000e+01,-6.0106854964942000e+00,1.2830107761303999e+01,,,0,,,,,,,"OGP","EPSG","01/13/21 00:00:00","2007.066 2012.042 2014.020 2020.125",0
2347,"Algeria - north of 31.5°N","Algeria - onshore north of 35 grads North (31°30'N).",3.1500000000000000e+01,-3.8500000000000001e+00,3.7140000000000001e+01,9.2200000000000006e+00,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2012.049 2014.020",0
2393,"Algeria - Hassi Messaoud","Algeria - Hassi Messaoud.",3.1480000000000000e+01,5.5899999999999999e+00,3.2090000000000003e+01,6.5000000000000000e+00,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2012.049 2014.020",0
2548,"Africa - AOF west of 10°W","French West Africa onshore west of 10°W - Guinea, Mali, Mauritania, Senegal.",8.2899999999999991e+00,-1.7590000000000000e+01,2.6010000000000002e+01,-1.0000000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2012.042 2014.019",0
2549,"Africa - AOF 10°W to 3.5°W","French West Africa between 10°W and 3°30'W - Burkina Faso, Côte d'Ivoire (Ivory Coast), Guinea, Mali, Mauritania.",4.2900000000000000e+00,-1.0000000000000000e+01,2.7300000000000001e+01,-3.4900000000000002e+00,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2012.042 2014.019",0
2550,"Africa - AOF 3.5°W to 4°E","French West Africa onshore between 3°30'W and 4°E - Benin, Burkina Faso, Côte d'Ivoire (Ivory Coast), Mali, Niger, Togo.",5.0300000000000002e+00,-3.5000000000000000e+00,2.4180000000000000e+01,4.0000000000000000e+00,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2012.042 2014.019",0
2551,"Africa - AOF 4°E to 9°E","French West Africa between 4°E and 9°E - Mali, Niger.",1.2820000000000000e+01,4.0000000000000000e+00,2.1789999999999999e+01,9.0000000000000000e+00,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2012.042 2014.019",0
2552,"Africa - AEF 9°E to 14°E","French Equatorial Africa onshore west of 14°E - Cameroon, Chad, Congo, Gabon, Niger - between 9°E and 14°E.",-5.0599999999999996e+00,8.4499999999999993e+00,2.3530000000000001e+01,1.4000000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2012.042 2014.019",0
2553,"Africa - AEF 14°E to 21°E","French Equatorial Africa between 14°E and 21°E - Cameroon, Central African Republic, Chad, Congo, Gabon, Niger.",-4.9100000000000001e+00,1.4000000000000000e+01,2.3460000000000001e+01,2.1000000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.045 2012.042 2014.019",0
2554,"Africa - AEF east of 21°E","French Equatorial Africa east of 21°E - Central African Republic, Chad.",4.1200000000000001e+00,2.1000000000000000e+01,2.1059999999999999e+01,2.7460000000000001e+01,,,,,,,,,,"OGP","EPSG","01/14/19 00:00:00","2008.045 2012.042 2014.019 2018.064",0
2598,"Algeria - District 3","Algeria - District 3 (In Salah).",2.5000000000000000e+01,1.0000000000000000e+00,3.2000000000000000e+01,3.2999999999999998e+00,,,,,,,,,,"OGP","EPSG","05/08/12 00:00:00","2012.042",0
2599,"Algeria - In Amenas","Algeria - In Amenas block.",2.7500000000000000e+01,8.8300000000000001e+00,2.8300000000000001e+01,9.9199999999999999e+00,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2012.049 2014.019",0
2600,"Algeria - Hassi Bir Reikaz","Algeria - Hassi Bir Reikaz.",3.1750000000000000e+01,7.1600000000000001e+00,3.2420000000000002e+01,8.0000000000000000e+00,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2012.049 2014.019",0
2790,"Africa - 12th parallel N","Senegal - central, Mali - southwest, Burkina Faso - central, Niger - southwest, Nigeria - north, Chad - central. All in proximity to the parallel of latitude of 12°N.",1.0260000000000000e+01,-1.7190000000000001e+01,1.5699999999999999e+01,3.0420000000000002e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.054 2012.049 2014.018",0
2791,"Africa - Burkina Faso and SW Niger","Burkina Faso - central; Niger - southwest, in proximity to the parallel of latitude of 12°N.",1.1830000000000000e+01,-4.6399999999999997e+00,1.4230000000000000e+01,4.0000000000000000e+00,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2012.049 2014.018",0
2825,"Africa - Ethiopia and Sudan - 30°E to 36°E","Ethiopia - west of 36°E. South Sudan - east of 30°E. Sudan - between 30°E and 36°E.",3.4900000000000002e+00,2.9989999999999998e+01,2.2239999999999998e+01,3.6000000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2002.810 2012.001 2012.049 2014.018",0
2826,"Africa - South Sudan and Sudan - west of 24°E","South Sudan and Sudan - west of 24°E.",8.6999999999999993e+00,2.1820000000000000e+01,1.5760000000000000e+01,2.4010000000000002e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2002.810 2012.001 2012.049 2012.062 2014.018",0
2827,"Africa - South Sudan and Sudan - 24°E to 30°E","South Sudan and Sudan - between 24°E and 30°E.",4.2100000000000000e+00,2.3989999999999998e+01,2.2010000000000002e+01,3.0010000000000002e+01,,,,,,,,,,"OGP","EPSG","01/14/19 00:00:00","2002.810 2012.001 2012.049 2014.018 2018.064",0
2991,"Antarctica - 60°S to 64°S, 72°W to 60°W (SP19-20)","Antarctica - 60°S to 64°S and 72°W to 60°W.",-6.4000000000000000e+01,-7.2000000000000000e+01,-6.0000000000000000e+01,-6.0000000000000000e+01,,,,,,,,,,"Scientific Committee for Antarctic Research","EPSG","06/23/08 00:00:00","2008.045",0
2992,"Antarctica - 60°S to 64°S, 60°W to 48°W (SP21-22)","Antarctica - 60°S to 64°S and 60°W to 48°W.",-6.4000000000000000e+01,-6.0000000000000000e+01,-6.0000000000000000e+01,-4.8000000000000000e+01,,,,,,,,,,"Scientific Committee for Antarctic Research","EPSG","06/23/08 00:00:00","2008.045",0
2993,"Antarctica - 60°S to 64°S, 48°W to 36°W (SP23-24)","Antarctica - 60°S to 64°S and 48°W to 36°W.",-6.4000000000000000e+01,-4.8000000000000000e+01,-6.0000000000000000e+01,-3.6000000000000000e+01,,,,,,,,,,"Scientific Committee for Antarctic Research","EPSG","07/05/08 00:00:00","2008.045 2008.054",0
2994,"Antarctica - 64°S to 68°S, 180°W to 168°W (SQ01-02)","Antarctica - 64°S to 68°S and 180°W to 168°W.",-6.8000000000000000e+01,-1.8000000000000000e+02,-6.4000000000000000e+01,-1.6800000000000000e+02,,,,,,,,,,"Scientific Committee for Antarctic Research","EPSG","07/05/08 00:00:00","2008.045 2008.054",0
2997,"Antarctica - 64°S to 68°S, 36°E to 48°E (SQ37-38)","Antarctica - 64°S to 68°S and 36°E to 48°E.",-6.8000000000000000e+01,3.6000000000000000e+01,-6.4000000000000000e+01,4.8000000000000000e+01,,,,,,,,,,"Scientific Committee for Antarctic Research","EPSG","06/23/08 00:00:00","2008.045",0
2998,"Antarctica - 64°S to 68°S, 48°E to 60°E (SQ39-40)","Antarctica - 64°S to 68°S and 48°E to 60°E.",-6.8000000000000000e+01,4.8000000000000000e+01,-6.4000000000000000e+01,6.0000000000000000e+01,,,,,,,,,,"Scientific Committee for Antarctic Research","EPSG","06/23/08 00:00:00","2008.045",0
3003,"Antarctica - 64°S to 68°S, 108°E to 120°E (SQ49-50)","Antarctica - 64°S to 68°S and 108°E to 120°E.",-6.8000000000000000e+01,1.0800000000000000e+02,-6.4000000000000000e+01,1.2000000000000000e+02,,,,,,,,,,"Scientific Committee for Antarctic Research","EPSG","06/23/08 00:00:00","2008.045",0
3004,"Antarctica - 64°S to 68°S, 120°E to 132°E (SQ51-52)","Antarctica - 64°S to 68°S and 120°E to 132°E.",-6.8000000000000000e+01,1.2000000000000000e+02,-6.4000000000000000e+01,1.3200000000000000e+02,,,,,,,,,,"Scientific Committee for Antarctic Research","EPSG","06/23/08 00:00:00","2008.045",0
3005,"Antarctica - 64°S to 68°S, 132°E to 144°E (SQ53-54)","Antarctica - 64°S to 68°S and 132°E to 144°E.",-6.8000000000000000e+01,1.3200000000000000e+02,-6.4000000000000000e+01,1.4400000000000000e+02,,,,,,,,,,"Scientific Committee for Antarctic Research","EPSG","06/23/08 00:00:00","2008.045",0
3006,"Antarctica - 64°S to 68°S, 144°E to 156°E (SQ55-56)","Antarctica - 64°S to 68°S and 144°E to 156°E.",-6.8000000000000000e+01,1.4400000000000000e+02,-6.4000000000000000e+01,1.5600000000000000e+02,,,,,,,,,,"Scientific Committee for Antarctic Research","EPSG","06/23/08 00:00:00","2008.045",0
3007,"Antarctica - 64°S to 68°S, 156°E to 168°E (SQ57-58)","Antarctica - 64°S to 68°S and 156°E to 168°E.",-6.8000000000000000e+01,1.5600000000000000e+02,-6.4000000000000000e+01,1.6800000000000000e+02,,,,,,,,,,"Scientific Committee for Antarctic Research","EPSG","06/23/08 00:00:00","2008.045",0
3109,"American Samoa - 2 main island groups","American Samoa - Tutuila, Aunu'u, Ofu, Olesega and Ta'u islands.",-1.4430000000000000e+01,-1.7088000000000000e+02,-1.4109999999999999e+01,-1.6938000000000000e+02,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2011.064 2014.017",0
3110,"American Samoa - 2 main island groups and Rose Island","American Samoa - Tutuila, Aunu'u, Ofu, Olesega, Ta'u and Rose islands.",-1.4590000000000000e+01,-1.7088000000000000e+02,-1.4109999999999999e+01,-1.6809000000000000e+02,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2011.064 2014.017",0
3179,"Africa - Angola (Cabinda) and DR Congo (Zaire) - coastal","Angola (Cabinda) - onshore and offshore; The Democratic Republic of the Congo (Zaire) - onshore coastal area and offshore.",-6.0400000000000000e+00,1.0529999999999999e+01,-4.3799999999999999e+00,1.3100000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2008.070 2009.103 2012.042 2014.017",0
3180,"Africa - Angola (Cabinda) and DR Congo (Zaire) - offshore","Angola (Cabinda) - offshore; The Democratic Republic of the Congo (Zaire) - offshore.",-6.0400000000000000e+00,1.0529999999999999e+01,-5.0499999999999998e+00,1.2369999999999999e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2009.103 2012.042 2014.017",0
3211,"Aaland Islands","Åland Islands - onshore and offshore.",5.9840000000000003e+01,1.9239999999999998e+01,6.0479999999999997e+01,2.1190000000000001e+01,"AX","ALA",248,,,,,,,"ISO 3166 Maintenance Agency.","EPSG","05/01/14 00:00:00","2008.070 2011.095 2012.013 2014.017",0
3212,"Albania - onshore","Albania - onshore.",3.9640000000000001e+01,1.9219999999999999e+01,4.2670000000000002e+01,2.1059999999999999e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2011.095 2014.017",0
3213,"Algeria - onshore","Algeria - onshore.",1.8969999999999999e+01,-8.6699999999999999e+00,3.7140000000000001e+01,1.1990000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2012.049 2014.017",0
3214,"Anguilla - onshore","Anguilla - onshore.",1.8109999999999999e+01,-6.3219999999999999e+01,1.8329999999999998e+01,-6.2920000000000002e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2011.064 2014.017",0
3311,"Africa - South Sudan and Sudan onshore","South Sudan. Sudan - onshore.",3.4900000000000002e+00,2.1820000000000000e+01,2.2239999999999998e+01,3.8659999999999997e+01,,,,,,,,,,"OGP","EPSG","01/14/19 00:00:00","2012.001 2012.049 2014.016 2018.064",0
3402,"Algeria - Hassi Mouina licence area","Algeria - Hassi Mouina licence area.",2.9250000000000000e+01,0.0000000000000000e+00,3.1000000000000000e+01,1.2500000000000000e+00,,,,,,,,,,"OGP","EPSG","04/18/12 00:00:00","2012.049",0
3917,"Algeria - Ahnet licence area","Algeria - Ahnet licence area.",2.6059999999999999e+01,1.2600000000000000e+00,2.7510000000000002e+01,2.9199999999999999e+00,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2011.111 2014.012",0
3952,"Algeria - 6°W to 0°W","Algeria - between 6°W and 0°W (of Greenwich), onshore and offshore.",2.1820000000000000e+01,-6.0000000000000000e+00,3.7009999999999998e+01,0.0000000000000000e+00,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2012.005 2012.049 2014.012",0
3953,"Algeria - 0°E to 6°E","Algeria - between 0°E and 6°E (of Greenwich), onshore and offshore.",1.8969999999999999e+01,0.0000000000000000e+00,3.8770000000000003e+01,6.0099999999999998e+00,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2012.005 2012.049 2014.012",0
